,game_id,a_team_id,team_id,a_price,h_price,is_home,wl,season_year,player_1,player_2,player_3,player_4,player_5,player_6,team_id_a,player_1_a,player_2_a,player_3_a,player_4_a,player_5_a,player_6_a,season_num
7071,20700937,1610612741,1610612765,4.75,1.1818181818181819,t,1,2007,Tayshaun Prince,Richard Hamilton,Chauncey Billups,Antonio McDyess,Theo Ratliff,Jason Maxiell,1610612741,Luol Deng,Larry Hughes,Joakim Noah,Drew Gooden,Ben Gordon,Andres Nocioni,0.0
6182,21200082,1610612764,1610612754,3.9,1.263157894736842,t,1,2012,Paul George,David West,George Hill,Lance Stephenson,Gerald Green,Roy Hibbert,1610612764,AJ Price,Bradley Beal,Emeka Okafor,Trevor Booker,Trevor Ariza,Martell Webster,0.5555555555555556
7091,20701054,1610612737,1610612741,2.55,1.5714285714285714,t,1,2007,Kirk Hinrich,Luol Deng,Drew Gooden,Joakim Noah,Larry Hughes,Thabo Sefolosha,1610612737,Joe Johnson,Mike Bibby,Marvin Williams,Josh Smith,Al Horford,Josh Childress,0.0
1108,20900333,1610612738,1610612741,1.1818181818181819,4.75,t,0,2009,Derrick Rose,Taj Gibson,Luol Deng,Joakim Noah,John Salmons,Brad Miller,1610612738,Rajon Rondo,Ray Allen,Kevin Garnett,Paul Pierce,Rasheed Wallace,Kendrick Perkins,0.2222222222222222
395,21301163,1610612751,1610612753,1.4761904761904763,2.75,t,1,2013,Arron Afflalo,Maurice Harkless,Jameer Nelson,Kyle O'Quinn,Andrew Nicholson,Tobias Harris,1610612751,Joe Johnson,Deron Williams,Alan Anderson,Mirza Teletovic,Mason Plumlee,Andrei Kirilenko,0.6666666666666666
3489,21001111,1610612751,1610612752,4.2,1.2272727272727273,t,1,2010,Carmelo Anthony,Chauncey Billups,Amar'e Stoudemire,Jared Jeffries,Toney Douglas,Shawne Williams,1610612751,Kris Humphries,Anthony Morrow,Deron Williams,Brook Lopez,Travis Outlaw,Jordan Farmar,0.3333333333333333
5272,20900606,1610612761,1610612739,5.25,1.1538461538461537,t,1,2009,LeBron James,Mo Williams,Anderson Varejao,Delonte West,Anthony Parker,JJ Hickson,1610612761,Chris Bosh,Andrea Bargnani,DeMar DeRozan,Jose Calderon,Antoine Wright,Hedo Turkoglu,0.2222222222222222
7101,20701111,1610612756,1610612743,3.5,1.3333333333333333,t,1,2007,Allen Iverson,Carmelo Anthony,Marcus Camby,Kenyon Martin,JR Smith,Anthony Carter,1610612756,Amar'e Stoudemire,Leandro Barbosa,Steve Nash,Boris Diaw,Shaquille O'Neal,Gordan Giricek,0.0
4479,21400082,1610612757,1610612746,2.65,1.526315789473684,t,1,2014,DeAndre Jordan,JJ Redick,Chris Paul,Blake Griffin,Jamal Crawford,Matt Barnes,1610612757,LaMarcus Aldridge,Damian Lillard,Nicolas Batum,Wesley Matthews,Robin Lopez,Steve Blake,0.7777777777777778
4785,20700166,1610612753,1610612759,3.2,1.3846153846153846,t,1,2007,Tony Parker,Manu Ginobili,Tim Duncan,Michael Finley,Bruce Bowen,Brent Barry,1610612753,Rashard Lewis,Hedo Turkoglu,Dwight Howard,Keith Bogans,Jameer Nelson,Carlos Arroyo,0.0
